transaction_id,transaction_datetime,branch_id,member_id,member_tier,channel,product_category,quantity,unit_price,discount_amount,total_amount,payment_method,satisfaction_score
T000033,2025-10-02 16:34,B01,M0261,Platinum,App,Merchandise,1,730,36.50,693.50,Credit Card,3
T000034,2025-10-02 16:35,B03,,,Delivery,Bakery,1,55,0.00,55.00,Credit Card,
T000035,2025-10-02 16:59,B01,,,In-store,Merchandise,2,460,0.00,920.00,Credit Card,
T000036,2025-10-02 17:04,B05,M0173,SILVER,Delivery,Tea,2,55,0.00,110.00,QR PromptPay,
T000037,2025-10-02 18:17,B04,,,In-store,Coffee,3,75,0.00,225.00,Cash,5
T000038,2025-10-02 19:20,B07,,,App,Merchandise,1,430,0.00,430.00,App Wallet,
T000039,2025-10-02 19:29,B02,M0082,Bronze,Delivery,Coffee,1,90,0.00,90.00,Cash,4
T000040,2025-10-03 08:16,B03,M0315,Bronze,In-store,Coffee,1,110,0.00,110.00,Cash,
T000041,2025-10-03 08:29,B04,,,In-store,Coffee,1,115,0.00,115.00,Credit Card,
T000042,2025-10-03 08:56,B04,M0159,Platinum,In-store,Coffee,1,120,0.00,120.00,Cash,
T000042,2025-10-03 09:59,B04,M0159,Platinum,In-store,Coffee,-1,120,-0.00,-120.00,Cash,
T000043,2025-10-03 10:42,B05,M0202,Bronze,In-store,Coffee,3,110,0.00,330.00,QR PromptPay,4
T000044,2025-10-03 11:14,B04,M0144,Silver,Delivery,Coffee,1,55,5.50,49.50,QR PromptPay,
T000045,2025-10-03 11:33,B08,M0051,Gold,Delivery,Tea,1,70,0.00,70.00,Cash,
T000046,2025-10-03 12:08,B07,M0130,Platinum,In-store,Bakery,1,70,0.00,70.00,Cash,3
T000047,2025-10-03 12:21,B07,M0088,Bronze,In-store,Coffee,1,70,0.00,70.00,Cash,
T000048,2025-10-03 12:53,B02,M0265,Gold,In-store,Tea,2,75,15.00,135.00,Credit Card,
T000048,2025-10-03 12:53,B02,M0265,Gold,In-store,Tea,2,75,15.00,135.00,Credit Card,
T000049,2025-10-03 12:59,B01,,,In-store,Tea,1,65,0.00,65.00,Cash,
T000050,2025-10-03 13:42,B04,M0056,Platinum,In-store,Merchandise,2,350,0.00,700.00,QR PromptPay,
T000051,2025-10-03 13:42,B08,,,Delivery,Coffee,2,60,0.00,120.00,Cash,
T000052,2025-10-03 13:54,B07,,,App,Coffee,1,75,0.00,75.00,App Wallet,
T000053,2025-10-03 13:55,B07,M0308,Gold,App,Coffee,1,75,7.50,67.50,Credit Card,
T000054,2025-10-03 15:02,B01,,,In-store,Bakery,1,70,0.00,70.00,Credit Card,
T000055,2025-10-03 15:07,B01,M0196,Bronze,In-store,Merchandise,1,480,0.00,480.00,QR PromptPay,4
T000056,2025-10-03 16:46,B08,M0051,Gold,App,Coffee,3,65,29.25,165.75,Credit Card,
T000057,2025-10-03 16:55,B03,,,In-store,Bakery,3,110,0.00,330.00,Credit Card,
T000058,2025-10-03 17:38,B06,,,In-store,Coffee,1,95,0.00,95.00,QR PromptPay,
T000059,2025-10-03 17:55,B06,,,In-store,Coffee,4,120,0.00,480.00,Cash,4
T000060,2025-10-03 18:43,B05,,,Delivery,Coffee,1,60,0.00,60.00,Cash,
T000061,2025-10-04 07:01,B01,,,APP,Bakery,1,100,0.00,100.00,App Wallet,
T000062,2025-10-04 07:06,B02,,,In-store,Coffee,4,75,0.00,300.00,Credit Card,3
T000063,2025-10-04 08:09,B06,M0260,GOLD,In-store,Coffee,2,75,15.00,135.00,QR PromptPay,
T000064,2025-10-04 08:51,B02,,,In-store,Merchandise,1,485,0.00,485.00,Cash,4
T000065,2025-10-04 09:45,B06,,,App,Bakery,3,55,0.00,165.00,Credit Card,4
T000066,2025-10-04 11:07,B08,M0121,Silver,In-store,Tea,1,55,0.00,55.00,Credit Card,3
T000067,2025-10-04 11:19,B08,M0324,Gold,In-store,Coffee,3,55,24.75,140.25,QR PromptPay,3
T000068,2025-10-04 12:21,B08,M0002,Bronze,In-store,Coffee,2,55,0.00,110.00,Credit Card,
T000069,2025-10-04 13:11,B02,,,In-store,Bakery,4,55,0.00,220.00,QR PromptPay,
T000070,2025-10-04 13:16,B07,M0196,Bronze,App,Coffee,4,120,0.00,480.00,App Wallet,5
T000071,2025-10-04 13:23,B06,,,In-store,Coffee,1,120,0.00,120.00,Credit Card,
T000072,2025-10-04 15:45,B01,M9672,Bronze,In-store,Tea,2,55,0.00,110.00,Cash,
T000073,2025-10-04 15:54,B06,M0273,Silver,In-store,Coffee,2,65,0.00,130.00,Credit Card,3
T000074,2025-10-04 16:56,B07,,,Delivery,Coffee,1,120,0.00,120.00,QR PromptPay,
T000075,2025-10-04 16:57,B06,,,in-store,Coffee,1,100,0.00,100.00,QR PromptPay,
T000076,2025-10-04 17:14,B04,M0263,bronze,App,Coffee,1,80,0.00,80.00,Credit Card,
T000077,2025-10-04 17:57,B02,M0007,Bronze,In-store,Merchandise,1,750,0.00,750.00,Credit Card,
T000078,2025-10-04 19:44,B05,,,In-store,Tea,2,65,0.00,130.00,Cash,
T000079,2025-10-05 07:15,B04,M0308,Gold,App,Coffee,1,65,0.00,65.00,App Wallet,
T000080,2025-10-05 07:17,B08,M0087,Bronze,In-store,Coffee,1,70,14.00,56.00,QR PromptPay,4
T000081,2025-10-05 08:02,B08,M0119,Bronze,In-store,Coffee,2,115,0.00,230.00,QR PromptPay,
T000082,2025-10-05 08:28,B04,M0241,Gold,In-store,Coffee,1,85,4.25,80.75,QR PromptPay,4
T000083,2025-10-05 10:07,B04,M0159,Platinum,In-store,Tea,1,90,0.00,90.00,Cash,
T000084,2025-10-05 10:30,B01,M0048,Silver,In-store,Coffee,4,55,0.00,220.00,Credit Card,
T000085,2025-10-05 11:28,B06,M0003,Bronze,App,Bakery,2,70,28.00,112.00,Credit Card,
T000086,2025-10-05 11:39,B06,M0304,Platinum,App,Tea,2,90,9.00,171.00,App Wallet,
T000087,2025-10-05 13:09,B07,,,In-store,Coffee,2,60,0.00,120.00,Cash,
T000088,2025-10-05 13:19,B06,,,In-store,Coffee,1,120,0.00,120.00,QR PromptPay,
T000089,2025-10-05 14:58,B07,M9039,Gold,Delivery,Coffee,1,75,11.25,63.75,Credit Card,4
T000090,2025-10-05 15:40,B06,,,In-store,Coffee,2,120,0.00,240.00,QR PromptPay,
T000090,2025-10-05 15:40,B06,,,In-store,Coffee,2,120,0.00,240.00,QR PromptPay,
T000091,2025-10-05 16:01,B02,M0171,Gold,Delivery,Bakery,1,55,11.00,44.00,QR PromptPay,
T000092,2025-10-05 18:09,B06,M0045,Gold,App,Coffee,1,65 THB,0.00,65.00,App Wallet,
T000093,2025-10-05 18:20,B08,M0307,Platinum,App,Bakery,1,110,5.50,104.50,Credit Card,
T000094,2025-10-05 18:29,B05,,,Delivery,Coffee,3,85,0.00,255.00,Cash,3
T000095,2025-10-05 18:32,B08,M0051,Gold,Delivery,Merchandise,1,750,0.00,750.00,Cash,4
T000096,2025-10-05 18:33,B06,M0003,Bronze,In-store,Coffee,4,65,0.00,260.00,Cash,
T000097,2025-10-05 19:22,B07,,,In-store,Coffee,1,75,0.00,75.00,QR PromptPay,3
T000098,2025-10-05 19:36,B04,,,Delivery,Coffee,3,55,0.00,165.00,Credit Card,
T000099,2025-10-06 07:10,B07,M0056,Plat.,In-store,Coffee,1,85,8.50,76.50,Credit Card,5
T000100,2025-10-06 07:13,B04,M0115,Silver,Delivery,Tea,3,60,36.00,144.00,QR PromptPay,2
T000101,2025-10-06 08:12,B06,M0285,Bronze,App,Tea,1,50,0.00,50.00,Credit Card,
T000102,2025-10-06 08:13,B01,M0276,Bronze,In-store,Coffee,4,120,0.00,480.00,QR PromptPay,
T000103,2025-10-06 08:27,B05,M0010,Bronze,App,Merchandise,1,710,0.00,710.00,App Wallet,
T000104,2025-10-06 09:51,B05,,,Delivery,Bakery,4,55,0.00,220.00,Cash,3
T000105,2025-10-06 10:07,B02,M0007,Bronze,Delivery,Coffee,4,115,0.00,460.00,Cash,
T000106,2025-10-06 11:04,B03,M0078,Bronze,In-store,Coffee,3,95,0.00,285.00,QR PromptPay,
T000107,2025-10-06 11:41,B02,M0082,Bronze,Instore,Coffee,1,60,0.00,60.00,QR PromptPay,
T000108,2025-10-06 12:10,B03,M0078,Bronze,In-store,Merchandise,2,795,0.00,1590.00,Cash,5
T000109,2025-10-06 12:14,B01,M0147,Silver,Instore,Coffee,2,55,0.00,110.00,Cash,4
T000110,2025-10-06 12:44,B06,,,App,Coffee,4,100,0.00,400.00,Credit Card,
T000111,2025-10-06 13:15,B04,M0146,Bronze,In-store,Bakery,3,70,0.00,210.00,Cash,
T000112,2025-10-06 13:41,B05,M0295,Silver,App,Merchandise,1,805,0.00,805.00,Credit Card,4
T000113,2025-10-06 14:16,B07,M0280,Silver,In-store,Bakery,2,70,0.00,140.00,Credit Card,
T000114,2025-10-06 14:53,B05,M0036,Platinum,In-store,Coffee,1,65,6.50,58.50,QR PromptPay,
T000115,2025-10-06 16:34,B05,M0102,Platinum,Delivery,Coffee,2,120,0.00,240.00,Cash,
T000116,2025-10-06 16:44,B04,M0159,Platinum,In-store,Coffee,4,80,0.00,320.00,QR PromptPay,2
T000117,2025-10-06 17:00,B02,,,In-store,Coffee,1,100,0.00,100.00,Credit Card,
T000118,2025-10-06 18:19,B04,M0115,Silver,In-store,Coffee,2,55,16.50,93.50,QR PromptPay,3
T000119,2025-10-06 18:42,B04,M0096,Gold,Delivery,Tea,2,70,0.00,140.00,Credit Card,
T000120,2025-10-06 18:46,B01,M0281,Silver,Delivery,Coffee,3,100,0.00,300.00,QR PromptPay,5
T000121,2025-10-07 07:50,B06,M0260,Gold,In-store,Coffee,1,65,0.00,65.00,QR PromptPay,3
T000122,2025-10-07 08:00,B07,M0276,Bronze,In-store,Bakery,1,90,0.00,90.00,Cash,
T000122,2025-10-07 08:00,B07,M0276,Bronze,In-store,Bakery,1,90,0.00,90.00,Cash,
T000123,2025-10-07 08:12,B08,M0087,Bronze,In-store,Bakery,1,90,0.00,90.00,Cash,
T000124,2025-10-07 08:42,B08,M0171,Gold,Delivery,Coffee,1,60,0.00,60.00,QR PromptPay,
T000125,2025-10-07 08:46,B04,,,In-store,Bakery,1,70,0.00,70.00,Cash,
T000126,2025-10-07 09:11,B07,,,App,Tea,3,85,0.00,255.00,App Wallet,3
T000127,2025-10-07 09:12,B01,M0114,Silver,App,Tea,1,90,0.00,90.00,App Wallet,
T000128,2025-10-07 09:31,B06,,,App,Coffee,1,55,0.00,55.00,App Wallet,
T000129,2025-10-07 09:35,B05,M0295,Silver,In-store,Coffee,4,75,0.00,300.00,QR PromptPay,
T000130,2025-10-07 10:37,B05,,,In-store,Bakery,1,75,0.00,75.00,QR PromptPay,5
T000131,2025-10-07 11:01,B07,M0077,Gold,In-store,Bakery,1,45,0.00,45.00,Cash,4
T000132,2025-10-07 12:07,B01,M0240,Platinum,Delivery,Coffee,3,80,0.00,240.00,Credit Card,5
T000133,2025-10-07 12:36,B03,,,App,Tea,1,65,0.00,65.00,App Wallet,
T000134,2025-10-07 13:01,B04,,,In-store,Coffee,3,60,0.00,180.00,Credit Card,
T000135,2025-10-07 13:16,B07,M0057,Bronze,App,Coffee,1,80,0.00,80.00,App Wallet,
T000136,2025-10-07 13:19,B07,M0193,Bronze,In-store,Coffee,1,90,4.50,85.50,Cash,
T000137,2025-10-07 14:27,B08,M0010,Bronze,In-store,Coffee,1,65,0.00,65.00,Credit Card,4
T000138,2025-10-07 16:40,B05,,,In-store,Coffee,1,110,0.00,110.00,Credit Card,4
T000139,2025-10-07 17:23,B08,M0149,Bronze,In-store,Coffee,1,90,0.00,90.00,Cash,
T000140,2025-10-07 19:04,B04,,,In-store,Coffee,2,60,0.00,120.00,Credit Card,
T000141,2025-10-08 07:33,B07,M0175,bronze,In store,Tea,1,85,0.00,85.00,Cash,
T000142,2025-10-08 08:56,B05,,,In-store,Coffee,3,75,0.00,225.00,Cash,3
T000143,2025-10-08 12:16,B06,,,App,Bakery,4,45,0.00,180.00,Credit Card,
T000144,2025-10-08 12:24,B02,,,App,Coffee,4,120,0.00,480.00,Credit Card,3
T000145,2025-10-08 12:30,B03,M0245,Platinum,In-store,Merchandise,1,685,34.25,650.75,Credit Card,
T000146,2025-10-08 12:41,B08,M0309,Silver,App,Coffee,1,115,0.00,115.00,App Wallet,
T000147,2025-10-08 12:55,B05,M0223,Silver,In-store,Merchandise,1,790,0.00,790.00,Cash,
T000148,2025-10-08 13:13,B02,,,Instore,Coffee,1,85,0.00,85.00,Cash,
T000149,2025-10-08 13:32,B01,M0045,Gold,In-store,Coffee,1,90,18.00,72.00,QR PromptPay,5
T000150,2025-10-08 14:58,B03,M0175,Bronze,In-store,Bakery,1,60,0.00,60.00,Credit Card,
T000151,2025-10-08 17:33,B02,M0172,Silver,in-store,Coffee,4,100,0.00,400.00,Credit Card,
T000152,2025-10-08 17:39,B04,M0028,Silver,App,Coffee,1,75,15.00,60.00,Credit Card,3
T000153,2025-10-08 17:51,B05,M0288,Gold,App,Coffee,1,85,0.00,85.00,App Wallet,
T000154,2025-10-08 18:38,B01,,,App,Coffee,1,95,0.00,95.00,Credit Card,
T000155,2025-10-08 18:49,B08,,,Delivery,Tea,2,70,0.00,140.00,Credit Card,
T000156,2025-10-08 19:28,B02,M0228,Gold,In-store,Coffee,1,75,7.50,67.50,QR PromptPay,4
T000157,2025-10-08 19:35,B07,M0286,Silver,Instore,Merchandise,1,855,0.00,855.00,QR PromptPay,
T000158,2025-10-08 19:49,B05,,,Instore,Coffee,4,90,0.00,360.00,Credit Card,4
T000159,2025-10-09 08:06,B08,M0324,Gold,App,Coffee,2,80,0.00,160.00,App Wallet,
T000160,2025-10-09 08:49,B06,M0010,Bronze,In-store,Coffee,1,65,0.00,65.00,Cash,
T000161,2025-10-09 08:56,B01,,,In-store,Coffee,3,95,0.00,285.00,Cash,4
T000162,2025-10-09 10:11,B04,M0144,Silver,In-store,Merchandise,1,570,0.00,570.00,Credit Card,
T000163,2025-10-09 10:16,B01,M0295,Silver,In-store,Merchandise,4,865,0.00,3460.00,Cash,
T000164,2025-10-09 10:44,B07,M0143,Bronze,App,Coffee,3,110,0.00,330.00,App Wallet,
T000165,2025-10-09 11:16,B04,,,Delivery,Merchandise,4,530,0.00,2120.00,Cash,
T000166,2025-10-09 11:35,B04,,,In-store,Coffee,1,95,0.00,95.00,Cash,5
T000167,2025-10-09 12:07,B06,M0304,Platinum,In-store,Coffee,2,80,0.00,160.00,Credit Card,
T000168,2025-10-09 12:10,B07,M0054,Bronze,In-store,Coffee,1,100,0.00,100.00,Credit Card,
T000169,2025-10-09 12:24,B05,M0202,Bronze,In-store,Coffee,2,105,0.00,210.00,Credit Card,
T000170,2025-10-09 13:02,B02,,,Delivery,Merchandise,1,325,0.00,325.00,Credit Card,
T000171,2025-10-09 13:21,B05,,,Mobile App,Coffee,1,105,0.00,105.00,Credit Card,
T000172,2025-10-09 13:37,B02,M0279,Bronze,Mobile App,Coffee,3,100,0.00,300.00,Credit Card,
T000173,2025-10-09 14:25,B01,M0325,Platinum,Delivery,Coffee,1,120,12.00,108.00,QR PromptPay,
T000174,2025-10-09 15:25,B06,,,App,Bakery,2,55,0.00,110.00,Credit Card,
T000175,2025-10-09 16:07,B06,M0260,Gold,In-store,Tea,2,85,0.00,170.00,Credit Card,
T000176,2025-10-09 16:37,B01,M0048,Silver,Delivery,Tea,1,65,0.00,65.00,QR PromptPay,
T000177,2025-10-09 16:40,B02,M0148,Gold,In-store,Bakery,2,105,0.00,210.00,Cash,
T000178,2025-10-09 16:41,B02,M0265,Gold,In-store,Merchandise,1,735,73.50,661.50,QR PromptPay,
T000179,2025-10-09 16:54,B02,M0310,Gold,In-store,Bakery,1,45,0.00,45.00,QR PromptPay,4
T000180,2025-10-09 17:19,B05,,,In-store,Merchandise,2,290,0.00,580.00,QR PromptPay,
T000181,2025-10-09 18:56,B07,M0288,Gold,Delivery,Coffee,2,60,24.00,96.00,QR PromptPay,
T000182,2025-10-10 08:44,B07,M0284,Bronze,In-store,Tea,2,55,0.00,110.00,Cash,
T000183,2025-10-10 09:19,B02,,,In-store,Coffee,1,120,0.00,120.00,Cash,4
T000184,2025-10-10 09:53,B04,,,In-store,Coffee,1,90,0.00,90.00,QR PromptPay,
T000185,2025-10-10 10:09,B08,,,In-store,Coffee,2,95,0.00,190.00,QR PromptPay,
T000186,2025-10-10 11:04,b02,,,Delivery,Coffee,3,100,0.00,300.00,QR PromptPay,3
T000187,2025-10-10 11:18,B07,M0088,Bronze,In-store,Coffee,1,65,0.00,65.00,Cash,
T000188,2025-10-10 12:35,B03,M0053,Gold,in-store,Tea,1,70,0.00,70.00,Cash,3
T000189,2025-10-10 13:04,B07,,,In-store,Tea,1,95,0.00,95.00,Cash,
T000190,2025-10-10 13:14,B03,M0288,Gold,Delivery,Bakery,2,110,0.00,220.00,Cash,
T000191,2025-10-10 14:08,B07,M0252,Gold,Delivery,Coffee,4,105,0.00,410.00,Cash,
T000192,2025-10-10 14:30,B05,M0187,Bronze,App,Coffee,3,85,51.00,204.00,Credit Card,5
T000193,2025-10-10 16:19,B07,,,App,Coffee,1,60,0.00,60.00,Credit Card,
T000194,2025-10-10 16:30,B05,M0100,Bronze,In-store,Bakery,1,110,0.00,110.00,Credit Card,
T000195,2025-10-10 17:39,B01,M0048,Silver,delivery,Bakery,4,60,0.00,240.00,Cash,
T000196,2025-10-10 17:50,B01,M0048,Silver,Delivery,Bakery,1,80,0.00,80.00,Cash,4
T000197,2025-10-10 18:51,B02,M0093,Silver,In-store,Bakery,4,75,0.00,300.00,QR PromptPay,
T000198,2025-10-10 18:59,B03,,,in-store,Coffee,3,80,0.00,240.00,Cash,3
T000199,2025-10-10 19:00,B05,,,In-store,Coffee,1,55,0.00,55.00,QR PromptPay,3
T000200,2025-10-11 08:20,B04,M0104,Silver,In-store,Coffee,1,95,19.00,76.00,QR PromptPay,
T000201,2025-10-11 08:30,B06,M0276,Bronze,In-store,Coffee,1,65,0.00,65.00,Credit Card,
T000202,2025-10-11 08:34,B02,,,Delivery,Bakery,1,105,0.00,105.00,QR PromptPay,
T000203,2025-10-11 09:52,B01,M0045,Gold,In-store,Coffee,2,90,0.00,180.00,Cash,
T000204,2025-10-11 10:00,B08,M0324,Gold,App,Bakery,1,105,0.00,105.00,App Wallet,
T000205,2025-10-11 10:45,B05,M0295,Silver,In-store,Bakery,1,100,0.00,100.00,QR PromptPay,
T000204,2025-10-11 10:52,B08,M0324,Gold,App,Bakery,-1,105,-0.00,-105.00,App Wallet,
T000206,2025-10-11 10:53,B07,M0040,Bronze,In-store,Coffee,1,80,0.00,80.00,Credit Card,
T000207,2025-10-11 12:20,B04,M0019,Bronze,In-store,Coffee,1,65,0.00,65.00,Credit Card,5
T000208,2025-10-11 12:23,B06,M0219,Bronze,In-store,Bakery,2,80,0.00,160.00,QR PromptPay,
T000209,2025-10-11 12:27,B01,M0297,Brz,Delivery,Coffee,1,85,0.00,85.00,Cash,
T000210,2025-10-11 12:50,B02,,,In-store,Tea,1,55,0.00,55.00,QR PromptPay,
T000211,2025-10-11 12:54,B05,,,App,Merchandise,3,330,0.00,990.00,Credit Card,
T000212,2025-10-11 13:07,B02,M0007,Bronze,Delivery,Coffee,1,80,0.00,80.00,QR PromptPay,
T000213,2025-10-11 13:50,B01,M0114,Silver,Delivery,Coffee,1,85,0.00,85.00,QR PromptPay,4
T000214,2025-10-11 16:17,B07,,,In-store,Bakery,1,90,0.00,100.00,Credit Card,5
T000215,2025-10-11 16:44,B08,M0002,Bronze,In-store,Bakery,3,65,0.00,195.00,QR PromptPay,
T000216,2025-10-11 16:45,B08,M0119,Bronze,In-store,Tea,1,60,0.00,60.00,Credit Card,
T000217,2025-10-11 17:29,B07,,,In-store,Merchandise,4,670,0.00,2680.00,Cash,3
T000218,2025-10-11 18:10,B02,M0007,Bronze,In-store,Coffee,1,100,0.00,100.00,Credit Card,5
T000219,2025-10-11 18:15,B05,M0240,Platinum,app,Coffee,1,55,0.00,55.00,App Wallet,5
T000220,2025-10-11 18:16,B05,M0295,Silver,App,Coffee,4,120,0.00,480.00,Credit Card,4
T000221,2025-10-11 18:43,B05,M0176,Bronze,In-store,Coffee,1,80,4.00,76.00,Cash,
T000222,2025-10-11 18:56,B03,M0151,Bronze,In-store,Coffee,2,95,0.00,190.00,QR PromptPay,
T000223,2025-10-11 19:41,B07,M0086,Silver,In-store,Coffee,2,60,24.00,96.00,Credit Card,
T000224,2025-10-12 07:14,B05,M0144,Silver,In-store,Bakery,4,50,0.00,200.00,QR PromptPay,
T000225,2025-10-12 07:37,B05,,,In-store,Coffee,1,60,0.00,60.00,Cash,
T000226,2025-10-12 08:16,B04,,,App,Bakery,1,80,0.00,80.00,App Wallet,3
T000227,2025-10-12 09:07,B01,M0003,Bronze,In-store,Merchandise,2,520,52.00,988.00,QR PromptPay,
T000228,2025-10-12 11:25,B03,M0285,Bronze,In-store,Tea,3,75,0.00,225.00,QR PromptPay,
T000229,2025-10-12 12:03,B01,M0276,Bronze,App,Tea,2,75,0.00,190.00,Credit Card,
T000230,2025-10-12 12:18,B05,M0310,Gold,In-store,Tea,1,50,0.00,50.00,Cash,
T000231,2025-10-12 12:27,B04,M0241,Gold,In-store,Coffee,1,100,10.00,90.00,QR PromptPay,
T000232,2025-10-12 12:34,B03,,,In-store,Coffee,2,80,0.00,160.00,QR PromptPay,
T000233,2025-10-12 12:49,B02,,,In-store,Tea,3,80,0.00,240.00,Credit Card,
T000234,2025-10-12 12:50,B01,,,In-store,Tea,1,55,0.00,55.00,QR PromptPay,4
T000235,2025-10-12 13:17,B08,M0119,bronze,In-store,Tea,1,55,11.00,44.00,Credit Card,
T000236,2025-10-12 14:32,B07,M0288,Gold,In-store,Coffee,2,95,0.00,190.00,Cash,
T000237,2025-10-12 16:16,B03,M0071,Bronze,In-store,Coffee,1,100,10.00,90.00,Cash,
T000238,2025-10-12 16:19,B05,,,In-store,Bakery,1,45,0.00,45.00,Credit Card,
T000239,2025-10-12 16:42,B04,,,In-store,Bakery,4,105,0.00,420.00,Credit Card,
T000240,2025-10-12 17:27,B05,,,App,Coffee,1,115,0.00,115.00,Credit Card,
T000241,2025-10-12 17:43,B04,M0258,Bronze,Deliv.,Coffee,4,9999,0.00,39996.00,Cash,4
T000242,2025-10-12 18:16,B04,M0028,Silver,Mobile App,Coffee,4,95,0.00,380.00,Credit Card,4
T000243,2025-10-12 19:29,B08,M0209,Bronze,In-store,Coffee,2,70,0.00,140.00,Cash,
T000244,2025-10-13 07:36,B08,M0002,Bronze,App,Bakery,1,50,5.00,45.00,App Wallet,3
T000245,2025-10-13 08:36,B07,,,In-store,Tea,2,55,0.00,110.00,Credit Card,
T000246,2025-10-13 09:30,B06,,,In-store,Coffee,2,80,0.00,160.00,Credit Card,
T000247,2025-10-13 09:33,B02,M0119,Bronze,In-store,Bakery,3,80,0.00,240.00,QR PromptPay,3
T000248,2025-10-13 10:23,B07,,,In-store,Merchandise,2,285,0.00,570.00,Cash,
T000249,2025-10-13 11:06,B06,M0260,Gold,In-store,Coffee,1,55,0.00,55.00,Cash,
T000250,2025-10-13 11:22,B08,M0173,Silver,In-store,Bakery,1,110,0.00,110.00,Cash,
T000251,2025-10-13 11:29,B05,,,In-store,Bakery,4,75,0.00,300.00,Credit Card,
T000252,2025-10-13 12:07,B05,M0020,Bronze,In-store,Bakery,1,105,0.00,105.00,Cash,
T000253,2025-10-13 13:05,B07,,,Delivery ,Coffee,1,55,0.00,55.00,Cash,
T000254,2025-10-13 13:07,B02,,,In-store,Coffee,4,80,0.00,320.00,Credit Card,
T000255,2025-10-13 13:28,B05,M0297,Bronze,In-store,Tea,3,85,0.00,255.00,QR PromptPay,
T000256,2025-10-13 13:46,B08,M0050,Silver,App,Coffee,1,105,0.00,105.00,Credit Card,
T000257,2025-10-13 16:43,B07,M0088,Bronze,In-store,Tea,3,80,12.00,228.00,Credit Card,3
T000258,2025-10-14 07:35,B03,M0004,Brz,In-store,Coffee,1,65,0.00,65.00,QR PromptPay,4
T000259,2025-10-14 08:08,B03,M0074,Platinum,In-store,Coffee,2,105,0.00,210.00,Credit Card,4
T000260,2025-10-14 08:11,B08,M0204,Gold,Delivery,Coffee,1,55,0.00,55.00,QR PromptPay,5
